goal_keeper,first_team,second_team
Remy Riou,8583,9830
Nicolas Penneteau,9873,9986
Vincent Plante,7819,108893
Gregory Wimbee,9855,9873
Jody Viviani,9853,9855
Yohann Pele,8682,9874
Yohann Pele,8682,9941
Stephane Ruffier,9829,9853
Mathieu Valverde,9827,9941
Yohan Thuram Ulien,9829,9985
Yohan Thuram Ulien,9829,10242
Guy-Roland N'Dy Assembe,9830,9873
Mathieu Dreyer,9874,10242
Johny Placide,9746,9837
Ivan Benito,9930,9956
Craig Gordon,8472,9925
Robert Green,8654,10172
Bradley Jones,8549,8650
Jussi Jaaskelainen,8559,8654
Petr Cech,8455,9825
Pepe Reina,8650,9823
Pepe Reina,8650,9875
Heurelho Gomes,8586,9817
Joe Hart,8456,8658
Marton Fulop,8472,8659
Shay Given,8456,10194
Shay Given,8456,10252
Shay Given,8456,10261
Lukasz Fabianski,9825,10003
Asmir Begovic,8462,10194
Allan McGregor,8548,8667
Graeme Smith,9927,10251
Michael Fraser,8066,8649
Michael Fraser,8066,9927
Neil Alexander,8548,9860
Mark Brown,9925,10251
Mark Volders,9996,9997
Wouter Biebauw,8203,8573
Stijn Stijnen,8342,9993
Cedric Berthelin,7947,9998
Davino Verhulst,9987,9994
Davino Verhulst,9987,9997
Kristof van Hout,8571,9985
Kristof van Hout,8571,9987
Kristof van Hout,8571,10001
Gerhard Tremmel,8398,10003
Jaroslav Drobny,8177,9790
Ramazan Oezcan,8226,8234
Rene Adler,8178,9790
Timo Hildebrand,8226,9810
Timo Hildebrand,8226,10189
Logan Bailly,9788,9987
Sebastian Nowak,8020,177361
Krzysztof Pilarz,1601,2186
Krzysztof Pilarz,1601,8245
Krzysztof Pilarz,1601,177361
Wojciech Kaczmarek,8025,8027
Wojciech Kaczmarek,8025,8033
Michal Peskovic,8031,8033
Rafal Gikiewicz,1957,8025
Sebastian Przyrowski,2183,8020
Matko Perdijic,1601,2186
Piet Velthuizen,8277,10278
Bram Castro,9803,9997
Michel Vorm,9908,10003
Jeroen Verhoeven,6601,9908
Sergio Romero,10229,10260
Nilson,7844,8348
Beto,6421,8302
Beto,6421,9773
Beto,6421,10264
Rafael Bracalli,10214,158085
Quim,9772,10264
Cassio,6403,7841
Cassio,6403,158085
Paulo Lopes,7992,9772
Romuald Peiser,9809,10215
Julio Coelho,6403,6547
Kenneth Vermeer,8593,10235
Maarten Stekelenburg,8593,8686
Maarten Stekelenburg,8593,9879
Wesley de Ruiter,9908,10218
Juan Pablo,8388,9869
Tono,8696,10268
Carlos Kameni,8558,9864
Iker Casillas,8633,9773
Victor Valdes,8634,9985
Jacobo,8305,10281
Diego Alves,9865,10267
Miguel Angel Moya,8661,9906
Miguel Angel Moya,8661,10267
German Dario Lux,8661,9783
Ricardo,8603,10238
Javi Varas,8302,8306
Javi Varas,8302,9910
Vladimir Stojkovic,8305,8528
Ferdinando Coppola,8524,9804
Ferdinando Coppola,8524,9876
Federico Marchetti,8529,8543
Albano Benjamin Bizzarri,8530,8533
Albano Benjamin Bizzarri,8530,8543
Albano Benjamin Bizzarri,8530,10233
Sebastian Frey,8535,10233
Antonio Mirante,9882,10167
Matteo Sereni,9804,9858
Samir Handanovic,8600,8636
Francesco Antonioli,9857,9880
Gianluca Curci,8551,8686
Gianluca Curci,8551,9857
Gianluca Curci,8551,9882
Marco Amelia,8540,8564
Marco Amelia,8540,10233
Francesco Benussi,9888,208931
Juan Pablo Carrizo,8543,8636
Julio Cesar,8636,9772
Julio Cesar,8636,10172
Stefano Sorrentino,8533,8540
Artur,8686,9772
Artur,8686,10264
Yann Sommer,9931,9956
Guillaume Faivre,7955,10191
Thorsten Kirschbaum,9824,10269
Lorenzo Bucchi,6493,9956
Lorenzo Bucchi,6493,10199
Cedric Carrasso,9827,9941
Mathieu Valverde,4170,9827
Mathieu Valverde,4170,9941
Gregory Coupet,9847,9906
Mickael Landreau,8639,9847
Jean Francois Bedenik,4170,7955
Wayne Hennessey,8602,9826
Mark Brown,8597,8649
Mark Brown,8597,9925
Mark Brown,8597,10251
Lukasz Zaluska,9925,9938
Marton Fulop,8456,8472
Marton Fulop,8456,8659
Ross Turnbull,8455,8549
Gino Coutinho,10217,10218
Gino Coutinho,10217,10229
Brian van Loo,8674,9791
Niki Maeenpaeae,8525,9839
Przemyslaw Tyton,9803,10268
Przemyslaw Tyton,9803,10269
Henk Timmer,10228,10235
Massimo Colomba,9931,9956
Lorenzo Bucchi,9956,10199
Glenn Verbauwhede,8571,10001
Silvio Proto,8635,9993
Kristof van Hout,9985,9987
Kristof van Hout,9985,10001
Tom Muyters,9997,10000
Tom Muyters,9997,10218
Radoslaw Cierzniak,8245,9938
Radoslaw Cierzniak,8245,10265
Mateusz Bak,8030,8033
Wojciech Skaba,8031,8673
Grzegorz Kasprzik,2182,8020
Grzegorz Kasprzik,2182,8028
Grzegorz Sandomierski,1957,2186
Grzegorz Sandomierski,1957,8027
Michal Buchalik,8242,10265
Gregorz Szamotulski,1957,8245
Gregorz Szamotulski,1957,10251
Simon Pouplin,8358,9831
Simon Pouplin,8358,9874
Fabian Giefer,8178,8194
Fabian Giefer,8178,10189
Ralf Faehrmann,9810,10189
Michal Gliwa,2183,8021
Juan Pablo Carrizo,8394,8530
Juan Pablo Carrizo,8394,8543
Juan Pablo Carrizo,8394,8636
Renan,9868,10267
Sergio Asenjo,9906,10205
Sergio Asenjo,9906,10281
David De Gea,9906,10260
Roberto,8394,9772
Roberto,8394,9906
Diego,6421,10238
Ricardo,10215,10238
Hugo Ventura,2033,7841
Hugo Ventura,2033,9765
Hugo Ventura,2033,9807
Nelson,9807,10213
Beto,9773,10264
Emiliano Viviano,9857,9882
Mariano Andujar,8530,9875
Rubinho,8540,10233
Marco Storari,8564,9882
Marco Storari,8564,9885
Julio Sergio,8686,9888
