id,name,birthday,height,weight
2625,"Patryk Rachwal,18",1981-01-27 00:00:00,175.26,154
2752,Diego Mainz,1982-12-29 00:00:00,187.96,174
2768,Jose Dorado,1982-07-10 00:00:00,180.34,154
2770,Ignacio Gonzalez,1982-05-14 00:00:00,180.34,161
2790,Alberto Rey,1974-02-15 00:00:00,175.26,163
2796,Javier Jimenez,1987-06-08 00:00:00,182.88,170
2802,Pablo Hernandez,1985-04-11 00:00:00,172.72,159
2805,Ruben Perez,1989-04-26 00:00:00,177.8,159
2857,Ivan Perez,1985-11-16 00:00:00,172.72,143
2862,Vicente Sanchez,1979-12-07 00:00:00,170.18,146
2907,Gregory Lacombe,1982-01-11 00:00:00,165.1,128
2973,Ugur Inceman,1981-05-25 00:00:00,182.88,176
2977,David Rivas Rodriguez,1978-12-02 00:00:00,190.5,187
2983,Jorge Molina,1982-04-22 00:00:00,187.96,192
2984,Sergio Aragones,1977-02-01 00:00:00,182.88,176
3140,Alexandre Hauw,1982-01-22 00:00:00,175.26,150
3204,Marat Izmailov,1982-09-21 00:00:00,170.18,154
3263,Kelly Berville,1978-01-05 00:00:00,177.8,172
3264,Abdelmalek Cherrad,1981-01-14 00:00:00,185.42,165
3316,Oscar Sanchez,1979-12-19 00:00:00,180.34,159
3329,Vincent Euvrard,1982-03-12 00:00:00,182.88,165
3377,Luca Belingheri,1983-04-06 00:00:00,182.88,154
3441,Aleksander Radosavljevic,1979-04-25 00:00:00,182.88,174
3512,Peter Halmosi,1979-09-25 00:00:00,177.8,163
3517,Alexandr Kerzhakov,1982-11-27 00:00:00,175.26,168
3520,Andrey Arshavin,1981-05-29 00:00:00,172.72,154
4747,Lee Wilkie,1980-04-20 00:00:00,193.04,183
4863,Boban Grncarov,1982-08-12 00:00:00,193.04,198
4902,Iriney,1981-04-23 00:00:00,177.8,154
4939,Tim Clancy,1984-06-08 00:00:00,180.34,176
4999,Sebastian Olszar,1981-12-16 00:00:00,182.88,163
5016,Ibrahim Sidibe,1984-11-22 00:00:00,177.8,154
5044,Jeroen Verhoeven,1980-04-30 00:00:00,198.12,227
5047,Wilko de Vogt,1975-09-17 00:00:00,187.96,194
5063,Sander Duits,1983-08-29 00:00:00,182.88,172
5184,Gudmundur Steinarsson,1979-10-20 00:00:00,180.34,170
5192,Manuel Silas,1976-09-01 00:00:00,177.8,157
5202,Remy Gomis,1984-02-14 00:00:00,180.34,163
5217,Laurent Batlles,1975-09-23 00:00:00,175.26,150
5223,Raffaele Rubino,1978-01-09 00:00:00,182.88,176
5233,Iban Javier Cuadrado,1979-02-21 00:00:00,187.96,176
5243,Julio Alvarez,1981-05-01 00:00:00,180.34,157
5247,Perez Richi,1977-04-14 00:00:00,187.96,170
